es eju ciemos bez dāvanas,я иду в гости без подарка
es esmu ciemos,я в гостях
man nav laika,у меня нет времени
es dodu dāvanu viram,я дарю подарок мужу
es dodu dāvanu draugam,я дарю подарок другу
es redzu graugu,я вижу друга
manam draugam ir taisnība,мой друг прав
manam draugam ir mašīna,у моего друга есть машина
man ir dāvana bet tev nav dāvanas,у меня есть подарок а у тебя нет подарка
nav taisnības pasaulē,нет справедливости в мире
man nav naudas un laika,у меня нет денег и времени
manam vīram ir taisnība,мой муж прав
es gribu dzīvot mierā,я хочу жить в мире
es to zinu,я это знаю
