tev ir skaista pildspalva,у тебя красивая ручка
tev ir divi suņi,у тебя две собаки
tu remontē ar atslēgu,ты ремонтируешь ключом
tu raksti ar datoru,ты пишешь на компьютере
vai tev ir kaķis?,у тебя есть кот?
tev ir astoņi gadi,тебе 8 лет
tu esi skolotāja,ты учительница
vai tev patīk tavs darbs?,тебе нравится твоя работа?
tu gribi dzīvot mierā,ты хочешь жить в мире
tu saki patiesību,ты говоришь правду
tu domā ar galvu,ты думаешь головой
vai tev patīk labas ziņas?,тебе нравятся хорошие новости?
tu man dod vēl vienu iespēju,ты даешь мне еще один шанс
tev nav naudas un laika,у тебя нет денег и времени
tu ej uz tiesu,ты идешь в суд
tu dod dāvanu savai meitai,ты даешь подарок свой дочке
tu zini labu vietu,ты знаешь хорошее место
tu dzīvo skaistā mājā,ты живешь в красивом доме
tev ir divi draugi,у тебя есть два друга
tu dāvini mašīnu,ты даришь машину
