strādāt,работать
es strādāju,я работаю
tu strādā,ты работаешь
mēs strādājam,мы работаем
jūs strādājat,вы работаете
viņš strādā,он работает
viņa strādā,она работает
viņi strādā,они работают
viņas strādā,они работают (жен.)
es strādāju,я работал
tu strādāji,ты работал
mēs strādājām,мы работали
jūs strādājāt,вы работали
viņš strādāja,он работал
viņa strādāja,она работала
viņi strādāja,они работали
viņas strādāja,они работали (жен.)
es strādāšu,я буду работать
tu strādāsi,ты будешь работать
mēs strādāsim,мы будем работать
jūs strādāsiet,вы будете работать
viņš strādās,он будет работать
viņa strādās,она будет работать
viņi strādās,они будут работать
viņas strādās,они будут работать (жен.)
